Resource Type: ALL
Anomaly Type: ALL
Traffic Direction: Outgoing
Anomaly Status: ALL
Minimum Severity: Yellow
Start Time: 2020/10/29 12:00
Until: 2020/11/1 12:59
Duration: 
Traffic Amount: 
Victim/Infected IP Prefix: 


No., ID, CHK, Impact, Status, Start Time / End Time, Duration, Direction, Type, Resource
100,100219,,Yellow /643.17 Mbps /  over 50.00 Mbps / max 643.17 Mbps,Recovered,11-01 04:4611-01 04:49,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
101,100218,,Yellow /2.24 Gbps /  over 2.00 Gbps / max 2.24 Gbps,Recovered,11-01 04:4311-01 04:46,03:00,To Non-Home,DDoS / Host TCP Traffic / bps,[Home Scope] / Non-Home / 185.190.189.202
102,100217,checked,Yellow /662.25 Mbps /  over 200.00 Mbps / max 662.25 Mbps,Recovered,11-01 04:4111-01 04:44,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
103,100216,checked,Yellow /569.36 Mbps /  over 50.00 Mbps / max 569.36 Mbps,Recovered,11-01 04:4111-01 04:44,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
104,100215,,Yellow /762.54 Mbps /  over 200.00 Mbps / max 762.54 Mbps,Recovered,11-01 04:3611-01 04:39,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
105,100214,,Yellow /654.44 Mbps /  over 50.00 Mbps / max 654.44 Mbps,Recovered,11-01 04:3611-01 04:39,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
106,100213,,Yellow /645.59 Mbps /  over 200.00 Mbps / max 645.59 Mbps,Recovered,11-01 04:3111-01 04:34,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
107,100212,,Yellow /561.97 Mbps /  over 50.00 Mbps / max 561.97 Mbps,Recovered,11-01 04:3111-01 04:34,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
108,100211,,Yellow /680.23 Mbps /  over 200.00 Mbps / max 680.23 Mbps,Recovered,11-01 04:2611-01 04:29,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
109,100210,,Yellow /605.16 Mbps /  over 50.00 Mbps / max 605.16 Mbps,Recovered,11-01 04:2611-01 04:29,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
110,100209,,Yellow /704.55 Mbps /  over 200.00 Mbps / max 704.55 Mbps,Recovered,11-01 04:2111-01 04:24,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
111,100208,,Yellow /609.46 Mbps /  over 50.00 Mbps / max 609.46 Mbps,Recovered,11-01 04:2111-01 04:24,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
112,100207,,Yellow /669.57 Mbps /  over 200.00 Mbps / max 669.57 Mbps,Recovered,11-01 04:1611-01 04:19,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
113,100206,,Yellow /593.72 Mbps /  over 50.00 Mbps / max 593.72 Mbps,Recovered,11-01 04:1611-01 04:19,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
